construct_id,pattern,role,proposed_action,v1_source_stable_id,v1_source_text,v2_question_text,angle,lens,is_negative,is_anchor,response_scale,equivalence_note,reviewer_notes,keep
C-CLARITY-01,clarity,leader,preserved,Q-CLARITY-002,"When plans change, I explain what changed and what stays the same.","When plans change, I explain what people need to do next.",intention,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-01,clarity,team_member,preserved,Q-CLARITY-007,"When priorities shift, I receive clear direction about what to do next.","When plans change, I understand what I need to do next.",experience,communication_clarity,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-02,clarity,leader,preserved,Q-CLARITY-003,I verify understanding before assuming people are aligned on what matters most.,I define success clearly enough that people understand what matters most in their work.,observational,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-02,clarity,team_member,preserved,Q-CLARITY-006,I understand what success looks like for my work right now.,I understand what success looks like for my work right now.,experience,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-03,clarity,leader,preserved,Q-CLARITY-004,Important expectations are implied instead of stated in a way people can repeat back.,I leave important expectations implied instead of stating them clearly.,gap,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-03,clarity,team_member,preserved,Q-CLARITY-008,Different people give me different signals about what matters most.,Important expectations are implied instead of stated clearly.,gap,communication_clarity,true,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-04,clarity,leader,preserved,Q-CLARITY-005,I leave enough room for questions before work begins so rework is less likely.,I leave enough room for questions before work begins so people can move forward clearly.,intention,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CLARITY-04,clarity,team_member,preserved,Q-CLARITY-009,I can explain how my work connects to the team’s current priorities.,I have enough room to ask questions before work begins so I can move forward clearly.,experience,behavioral_alignment,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-01,consistency,leader,preserved,Q-CONSISTENCY-001,"I respond to similar situations in similar ways, even when I’m under pressure.","I respond to similar situations in similar ways, even when I’m under pressure.",observational,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
C-CONSISTENCY-01,consistency,team_member,preserved,Q-CONSISTENCY-006,I generally know what response to expect from leadership in a given situation.,I generally know what response to expect from leadership in a given situation.,experience,trust_density,false,false,1_5_likert,Leader speaks from agency; team-member speaks from received experience. Both rate the same observable behavior on a 1–5 Likert scale.,,yes
